,Line Name and Location,Date and Time,Day,4hr Time Interval Ending at,Net Entries,Net Exits,Total Entries & Exits
59,Line 1 : Canal & Varick St,2021-09-11 12:00:00,Saturday,12:00:00,167.0,560.0,727.0
60,Line 1 : Canal & Varick St,2021-09-11 16:00:00,Saturday,16:00:00,356.0,745.0,1101.0
61,Line 1 : Canal & Varick St,2021-09-11 20:00:00,Saturday,20:00:00,417.0,574.0,991.0
62,Line 1 : Canal & Varick St,2021-09-12 00:00:00,Sunday,00:00:00,250.0,342.0,592.0
63,Line 1 : Canal & Varick St,2021-09-12 04:00:00,Sunday,04:00:00,84.0,81.0,165.0
64,Line 1 : Canal & Varick St,2021-09-12 08:00:00,Sunday,08:00:00,31.0,112.0,143.0
65,Line 1 : Canal & Varick St,2021-09-12 12:00:00,Sunday,12:00:00,129.0,447.0,576.0
66,Line 1 : Canal & Varick St,2021-09-12 16:00:00,Sunday,16:00:00,318.0,654.0,972.0
67,Line 1 : Canal & Varick St,2021-09-12 20:00:00,Sunday,20:00:00,311.0,343.0,654.0
68,Line 1 : Canal & Varick St,2021-09-13 00:00:00,Monday,00:00:00,136.0,123.0,259.0
69,Line 1 : Canal & Varick St,2021-09-13 04:00:00,Monday,04:00:00,17.0,21.0,38.0
70,Line 1 : Canal & Varick St,2021-09-13 08:00:00,Monday,08:00:00,155.0,731.0,886.0
71,Line 1 : Canal & Varick St,2021-09-13 12:00:00,Monday,12:00:00,254.0,623.0,877.0
72,Line 1 : Canal & Varick St,2021-09-13 16:00:00,Monday,16:00:00,594.0,583.0,1177.0
73,Line 1 : Canal & Varick St,2021-09-13 20:00:00,Monday,20:00:00,522.0,412.0,934.0
74,Line 1 : Canal & Varick St,2021-09-14 00:00:00,Tuesday,00:00:00,150.0,109.0,259.0
75,Line 1 : Canal & Varick St,2021-09-14 04:00:00,Tuesday,04:00:00,14.0,36.0,50.0
76,Line 1 : Canal & Varick St,2021-09-14 08:00:00,Tuesday,08:00:00,149.0,651.0,800.0
77,Line 1 : Canal & Varick St,2021-09-14 12:00:00,Tuesday,12:00:00,220.0,820.0,1040.0
78,Line 1 : Canal & Varick St,2021-09-14 16:00:00,Tuesday,16:00:00,615.0,566.0,1181.0
79,Line 1 : Canal & Varick St,2021-09-14 20:00:00,Tuesday,20:00:00,598.0,491.0,1089.0
80,Line 1 : Canal & Varick St,2021-09-15 00:00:00,Wednesday,00:00:00,168.0,125.0,293.0
81,Line 1 : Canal & Varick St,2021-09-15 04:00:00,Wednesday,04:00:00,23.0,43.0,66.0
82,Line 1 : Canal & Varick St,2021-09-15 08:00:00,Wednesday,08:00:00,174.0,701.0,875.0
83,Line 1 : Canal & Varick St,2021-09-15 12:00:00,Wednesday,12:00:00,232.0,732.0,964.0
84,Line 1 : Canal & Varick St,2021-09-15 16:00:00,Wednesday,16:00:00,617.0,609.0,1226.0
85,Line 1 : Canal & Varick St,2021-09-15 20:00:00,Wednesday,20:00:00,650.0,547.0,1197.0
86,Line 1 : Canal & Varick St,2021-09-16 00:00:00,Thursday,00:00:00,172.0,137.0,309.0
87,Line 1 : Canal & Varick St,2021-09-16 04:00:00,Thursday,04:00:00,28.0,38.0,66.0
88,Line 1 : Canal & Varick St,2021-09-16 08:00:00,Thursday,08:00:00,88.0,616.0,704.0
89,Line 1 : Canal & Varick St,2021-09-16 12:00:00,Thursday,12:00:00,218.0,651.0,869.0
90,Line 1 : Canal & Varick St,2021-09-16 16:00:00,Thursday,16:00:00,548.0,609.0,1157.0
91,Line 1 : Canal & Varick St,2021-09-16 20:00:00,Thursday,20:00:00,583.0,599.0,1182.0
92,Line 1 : Canal & Varick St,2021-09-17 00:00:00,Friday,00:00:00,238.0,182.0,420.0
93,Line 1 : Canal & Varick St,2021-09-17 04:00:00,Friday,04:00:00,50.0,41.0,91.0
94,Line 1 : Canal & Varick St,2021-09-17 08:00:00,Friday,08:00:00,134.0,666.0,800.0
95,Line 1 : Canal & Varick St,2021-09-17 12:00:00,Friday,12:00:00,262.0,689.0,951.0
96,Line 1 : Canal & Varick St,2021-09-17 16:00:00,Friday,16:00:00,663.0,675.0,1338.0
97,Line 1 : Canal & Varick St,2021-09-17 20:00:00,Friday,20:00:00,582.0,764.0,1346.0
98,Line 1 : Canal & Varick St,2021-09-18 04:00:00,Saturday,04:00:00,83.0,36.0,119.0
99,Line 1 : Canal & Varick St,2021-09-18 08:00:00,Saturday,08:00:00,50.0,154.0,204.0
100,Line 1 : Canal & Varick St,2021-09-18 12:00:00,Saturday,12:00:00,182.0,491.0,673.0
101,Line 1 : Canal & Varick St,2021-09-18 16:00:00,Saturday,16:00:00,382.0,800.0,1182.0
102,Line 1 : Canal & Varick St,2021-09-18 20:00:00,Saturday,20:00:00,463.0,680.0,1143.0
103,Line 1 : Canal & Varick St,2021-09-19 00:00:00,Sunday,00:00:00,273.0,235.0,508.0
104,Line 1 : Canal & Varick St,2021-09-19 04:00:00,Sunday,04:00:00,74.0,57.0,131.0
105,Line 1 : Canal & Varick St,2021-09-19 08:00:00,Sunday,08:00:00,43.0,99.0,142.0
106,Line 1 : Canal & Varick St,2021-09-19 12:00:00,Sunday,12:00:00,130.0,422.0,552.0
107,Line 1 : Canal & Varick St,2021-09-19 16:00:00,Sunday,16:00:00,306.0,624.0,930.0
108,Line 1 : Canal & Varick St,2021-09-19 20:00:00,Sunday,20:00:00,367.0,404.0,771.0
109,Line 1 : Canal & Varick St,2021-09-20 00:00:00,Monday,00:00:00,196.0,122.0,318.0
110,Line 1 : Canal & Varick St,2021-09-20 04:00:00,Monday,04:00:00,17.0,24.0,41.0
111,Line 1 : Canal & Varick St,2021-09-20 08:00:00,Monday,08:00:00,147.0,709.0,856.0
112,Line 1 : Canal & Varick St,2021-09-20 12:00:00,Monday,12:00:00,213.0,593.0,806.0
113,Line 1 : Canal & Varick St,2021-09-20 16:00:00,Monday,16:00:00,573.0,554.0,1127.0
114,Line 1 : Canal & Varick St,2021-09-20 20:00:00,Monday,20:00:00,567.0,489.0,1056.0
115,Line 1 : Canal & Varick St,2021-09-21 00:00:00,Tuesday,00:00:00,176.0,100.0,276.0
116,Line 1 : Canal & Varick St,2021-09-21 04:00:00,Tuesday,04:00:00,22.0,24.0,46.0
117,Line 1 : Canal & Varick St,2021-09-21 08:00:00,Tuesday,08:00:00,157.0,755.0,912.0
118,Line 1 : Canal & Varick St,2021-09-21 12:00:00,Tuesday,12:00:00,242.0,686.0,928.0
119,Line 1 : Canal & Varick St,2021-09-21 16:00:00,Tuesday,16:00:00,616.0,631.0,1247.0
120,Line 1 : Canal & Varick St,2021-09-21 20:00:00,Tuesday,20:00:00,658.0,566.0,1224.0
121,Line 1 : Canal & Varick St,2021-09-22 00:00:00,Wednesday,00:00:00,182.0,119.0,301.0
122,Line 1 : Canal & Varick St,2021-09-22 04:00:00,Wednesday,04:00:00,30.0,49.0,79.0
123,Line 1 : Canal & Varick St,2021-09-22 08:00:00,Wednesday,08:00:00,154.0,759.0,913.0
124,Line 1 : Canal & Varick St,2021-09-22 12:00:00,Wednesday,12:00:00,248.0,714.0,962.0
125,Line 1 : Canal & Varick St,2021-09-22 16:00:00,Wednesday,16:00:00,611.0,591.0,1202.0
126,Line 1 : Canal & Varick St,2021-09-22 20:00:00,Wednesday,20:00:00,686.0,594.0,1280.0
127,Line 1 : Canal & Varick St,2021-09-23 00:00:00,Thursday,00:00:00,173.0,115.0,288.0
128,Line 1 : Canal & Varick St,2021-09-23 04:00:00,Thursday,04:00:00,32.0,31.0,63.0
129,Line 1 : Canal & Varick St,2021-09-23 08:00:00,Thursday,08:00:00,139.0,774.0,913.0
130,Line 1 : Canal & Varick St,2021-09-23 12:00:00,Thursday,12:00:00,248.0,683.0,931.0
131,Line 1 : Canal & Varick St,2021-09-23 16:00:00,Thursday,16:00:00,677.0,643.0,1320.0
132,Line 1 : Canal & Varick St,2021-09-23 20:00:00,Thursday,20:00:00,623.0,628.0,1251.0
133,Line 1 : Canal & Varick St,2021-09-24 00:00:00,Friday,00:00:00,150.0,119.0,269.0
134,Line 1 : Canal & Varick St,2021-09-24 04:00:00,Friday,04:00:00,34.0,31.0,65.0
135,Line 1 : Canal & Varick St,2021-09-24 08:00:00,Friday,08:00:00,129.0,659.0,788.0
136,Line 1 : Canal & Varick St,2021-09-24 12:00:00,Friday,12:00:00,263.0,682.0,945.0
137,Line 1 : Canal & Varick St,2021-09-24 16:00:00,Friday,16:00:00,621.0,746.0,1367.0
138,Line 1 : Canal & Varick St,2021-09-24 20:00:00,Friday,20:00:00,705.0,804.0,1509.0
139,Line 1 : Canal & Varick St,2021-09-25 04:00:00,Saturday,04:00:00,76.0,53.0,129.0
140,Line 1 : Canal & Varick St,2021-09-25 08:00:00,Saturday,08:00:00,38.0,149.0,187.0
141,Line 1 : Canal & Varick St,2021-09-25 12:00:00,Saturday,12:00:00,200.0,526.0,726.0
142,Line 1 : Canal & Varick St,2021-09-25 16:00:00,Saturday,16:00:00,402.0,893.0,1295.0
143,Line 1 : Canal & Varick St,2021-09-25 20:00:00,Saturday,20:00:00,504.0,754.0,1258.0
144,Line 1 : Canal & Varick St,2021-09-26 00:00:00,Sunday,00:00:00,283.0,302.0,585.0
145,Line 1 : Canal & Varick St,2021-09-26 04:00:00,Sunday,04:00:00,102.0,62.0,164.0
146,Line 1 : Canal & Varick St,2021-09-26 08:00:00,Sunday,08:00:00,60.0,105.0,165.0
147,Line 1 : Canal & Varick St,2021-09-26 12:00:00,Sunday,12:00:00,126.0,461.0,587.0
148,Line 1 : Canal & Varick St,2021-09-26 16:00:00,Sunday,16:00:00,356.0,658.0,1014.0
149,Line 1 : Canal & Varick St,2021-09-26 20:00:00,Sunday,20:00:00,379.0,370.0,749.0
150,Line 1 : Canal & Varick St,2021-09-27 00:00:00,Monday,00:00:00,129.0,106.0,235.0
151,Line 1 : Canal & Varick St,2021-09-27 04:00:00,Monday,04:00:00,27.0,26.0,53.0
152,Line 1 : Canal & Varick St,2021-09-27 08:00:00,Monday,08:00:00,144.0,697.0,841.0
153,Line 1 : Canal & Varick St,2021-09-27 12:00:00,Monday,12:00:00,246.0,659.0,905.0
154,Line 1 : Canal & Varick St,2021-09-27 16:00:00,Monday,16:00:00,624.0,554.0,1178.0
155,Line 1 : Canal & Varick St,2021-09-27 20:00:00,Monday,20:00:00,548.0,395.0,943.0
156,Line 1 : Canal & Varick St,2021-09-28 00:00:00,Tuesday,00:00:00,133.0,94.0,227.0
157,Line 1 : Canal & Varick St,2021-09-28 04:00:00,Tuesday,04:00:00,16.0,28.0,44.0
158,Line 1 : Canal & Varick St,2021-09-28 08:00:00,Tuesday,08:00:00,178.0,770.0,948.0
159,Line 1 : Canal & Varick St,2021-09-28 12:00:00,Tuesday,12:00:00,271.0,755.0,1026.0
160,Line 1 : Canal & Varick St,2021-09-28 16:00:00,Tuesday,16:00:00,625.0,500.0,1125.0
161,Line 1 : Canal & Varick St,2021-09-28 20:00:00,Tuesday,20:00:00,613.0,463.0,1076.0
162,Line 1 : Canal & Varick St,2021-09-29 00:00:00,Wednesday,00:00:00,135.0,104.0,239.0
163,Line 1 : Canal & Varick St,2021-09-29 04:00:00,Wednesday,04:00:00,24.0,31.0,55.0
164,Line 1 : Canal & Varick St,2021-09-29 08:00:00,Wednesday,08:00:00,162.0,718.0,880.0
165,Line 1 : Canal & Varick St,2021-09-29 12:00:00,Wednesday,12:00:00,243.0,720.0,963.0
166,Line 1 : Canal & Varick St,2021-09-29 16:00:00,Wednesday,16:00:00,669.0,690.0,1359.0
167,Line 1 : Canal & Varick St,2021-09-29 20:00:00,Wednesday,20:00:00,647.0,609.0,1256.0
168,Line 1 : Canal & Varick St,2021-09-30 00:00:00,Thursday,00:00:00,182.0,139.0,321.0
169,Line 1 : Canal & Varick St,2021-09-30 04:00:00,Thursday,04:00:00,37.0,35.0,72.0
170,Line 1 : Canal & Varick St,2021-09-30 08:00:00,Thursday,08:00:00,163.0,771.0,934.0
171,Line 1 : Canal & Varick St,2021-09-30 12:00:00,Thursday,12:00:00,266.0,826.0,1092.0
172,Line 1 : Canal & Varick St,2021-09-30 16:00:00,Thursday,16:00:00,665.0,680.0,1345.0
173,Line 1 : Canal & Varick St,2021-09-30 20:00:00,Thursday,20:00:00,604.0,613.0,1217.0
174,Line 1 : Canal & Varick St,2021-10-01 00:00:00,Friday,00:00:00,187.0,167.0,354.0
175,Line 1 : Canal & Varick St,2021-10-01 04:00:00,Friday,04:00:00,35.0,22.0,57.0
176,Line 1 : Canal & Varick St,2021-10-01 08:00:00,Friday,08:00:00,124.0,676.0,800.0
177,Line 1 : Canal & Varick St,2021-10-01 12:00:00,Friday,12:00:00,250.0,666.0,916.0
178,Line 1 : Canal & Varick St,2021-10-01 16:00:00,Friday,16:00:00,632.0,766.0,1398.0
179,Line 1 : Canal & Varick St,2021-10-01 20:00:00,Friday,20:00:00,523.0,662.0,1185.0
180,Line 1 : Canal & Varick St,2021-10-02 04:00:00,Saturday,04:00:00,72.0,48.0,120.0
181,Line 1 : Canal & Varick St,2021-10-02 08:00:00,Saturday,08:00:00,49.0,192.0,241.0
182,Line 1 : Canal & Varick St,2021-10-02 12:00:00,Saturday,12:00:00,168.0,599.0,767.0
183,Line 1 : Canal & Varick St,2021-10-02 16:00:00,Saturday,16:00:00,431.0,856.0,1287.0
184,Line 1 : Canal & Varick St,2021-10-02 20:00:00,Saturday,20:00:00,383.0,591.0,974.0
185,Line 1 : Canal & Varick St,2021-10-03 00:00:00,Sunday,00:00:00,248.0,291.0,539.0
186,Line 1 : Canal & Varick St,2021-10-03 04:00:00,Sunday,04:00:00,72.0,58.0,130.0
187,Line 1 : Canal & Varick St,2021-10-03 08:00:00,Sunday,08:00:00,31.0,99.0,130.0
188,Line 1 : Canal & Varick St,2021-10-03 12:00:00,Sunday,12:00:00,145.0,532.0,677.0
189,Line 1 : Canal & Varick St,2021-10-03 16:00:00,Sunday,16:00:00,267.0,658.0,925.0
190,Line 1 : Canal & Varick St,2021-10-03 20:00:00,Sunday,20:00:00,287.0,349.0,636.0
191,Line 1 : Canal & Varick St,2021-10-04 00:00:00,Monday,00:00:00,138.0,133.0,271.0
192,Line 1 : Canal & Varick St,2021-10-04 04:00:00,Monday,04:00:00,17.0,27.0,44.0
193,Line 1 : Canal & Varick St,2021-10-04 08:00:00,Monday,08:00:00,140.0,679.0,819.0
194,Line 1 : Canal & Varick St,2021-10-04 12:00:00,Monday,12:00:00,295.0,695.0,990.0
195,Line 1 : Canal & Varick St,2021-10-04 16:00:00,Monday,16:00:00,661.0,552.0,1213.0
196,Line 1 : Canal & Varick St,2021-10-04 20:00:00,Monday,20:00:00,603.0,427.0,1030.0
197,Line 1 : Canal & Varick St,2021-10-05 00:00:00,Tuesday,00:00:00,142.0,95.0,237.0
198,Line 1 : Canal & Varick St,2021-10-05 04:00:00,Tuesday,04:00:00,15.0,27.0,42.0
199,Line 1 : Canal & Varick St,2021-10-05 08:00:00,Tuesday,08:00:00,173.0,772.0,945.0
200,Line 1 : Canal & Varick St,2021-10-05 12:00:00,Tuesday,12:00:00,277.0,810.0,1087.0
201,Line 1 : Canal & Varick St,2021-10-05 16:00:00,Tuesday,16:00:00,701.0,649.0,1350.0
202,Line 1 : Canal & Varick St,2021-10-05 20:00:00,Tuesday,20:00:00,657.0,569.0,1226.0
203,Line 1 : Canal & Varick St,2021-10-06 00:00:00,Wednesday,00:00:00,198.0,130.0,328.0
204,Line 1 : Canal & Varick St,2021-10-06 04:00:00,Wednesday,04:00:00,20.0,28.0,48.0
205,Line 1 : Canal & Varick St,2021-10-06 08:00:00,Wednesday,08:00:00,139.0,803.0,942.0
206,Line 1 : Canal & Varick St,2021-10-06 12:00:00,Wednesday,12:00:00,251.0,671.0,922.0
207,Line 1 : Canal & Varick St,2021-10-06 16:00:00,Wednesday,16:00:00,700.0,685.0,1385.0
208,Line 1 : Canal & Varick St,2021-10-06 20:00:00,Wednesday,20:00:00,725.0,545.0,1270.0
209,Line 1 : Canal & Varick St,2021-10-07 00:00:00,Thursday,00:00:00,172.0,132.0,304.0
210,Line 1 : Canal & Varick St,2021-10-07 04:00:00,Thursday,04:00:00,34.0,33.0,67.0
211,Line 1 : Canal & Varick St,2021-10-07 08:00:00,Thursday,08:00:00,156.0,816.0,972.0
212,Line 1 : Canal & Varick St,2021-10-07 12:00:00,Thursday,12:00:00,269.0,738.0,1007.0
213,Line 1 : Canal & Varick St,2021-10-07 16:00:00,Thursday,16:00:00,658.0,663.0,1321.0
214,Line 1 : Canal & Varick St,2021-10-07 20:00:00,Thursday,20:00:00,692.0,576.0,1268.0
215,Line 1 : Canal & Varick St,2021-10-08 00:00:00,Friday,00:00:00,225.0,178.0,403.0
216,Line 1 : Canal & Varick St,2021-10-08 04:00:00,Friday,04:00:00,41.0,44.0,85.0
217,Line 1 : Canal & Varick St,2021-10-08 08:00:00,Friday,08:00:00,130.0,630.0,760.0
218,Line 1 : Canal & Varick St,2021-10-08 12:00:00,Friday,12:00:00,317.0,770.0,1087.0
219,Line 1 : Canal & Varick St,2021-10-08 16:00:00,Friday,16:00:00,661.0,787.0,1448.0
220,Line 1 : Canal & Varick St,2021-10-08 20:00:00,Friday,20:00:00,619.0,737.0,1356.0
